CID,FormalCharge,NumRotatableBonds,NumHAcceptors,NumHDonors,TPSA,LabuteASA,MolLogP
LON-WEI-adc59df6-45,0,8,5,1,80.76,205.94983025166266,5.295300000000005
LON-WEI-adc59df6-47,0,8,3,1,62.3,199.88827519557515,5.137400000000004
LON-WEI-adc59df6-53,0,5,3,1,62.3,183.69879604225974,5.207500000000005
LON-WEI-adc59df6-55,0,5,3,1,62.3,193.62801953541612,5.6250200000000055
LON-WEI-adc59df6-56,0,5,3,1,62.3,179.7604719297747,4.862520000000004
LON-WEI-adc59df6-57,0,7,4,1,71.53,191.23895927367823,4.952800000000004
LON-WEI-adc59df6-59,0,6,4,1,71.53,191.23895927367823,4.871120000000004
LON-WEI-adc59df6-67,0,6,3,1,62.3,175.52225714216445,4.656900000000004
LON-WEI-adc59df6-68,0,5,3,2,78.09,163.82658631054116,3.7379000000000016
LON-WEI-adc59df6-73,0,6,3,1,62.3,179.9274837076285,4.423600000000003
LON-WEI-adc59df6-78,0,7,4,1,86.09,171.42316738245017,3.712780000000003
LON-WEI-adc59df6-83,0,6,4,1,71.53,177.50324389135574,3.7605000000000017
LON-WEI-adc59df6-89,0,5,4,1,71.53,160.53514487495232,2.7636000000000003
LON-WEI-adc59df6-92,0,5,3,1,62.3,168.15148387423864,4.164900000000003
LON-WEI-adc59df6-93,0,5,5,1,88.6,152.9726138997321,1.7559999999999991
LON-WEI-adc59df6-94,0,5,3,1,62.3,174.51642598863526,4.555000000000003
LON-WEI-adc59df6-99,0,5,3,1,62.3,161.78654175984204,3.6307000000000023
LON-WEI-adc59df6-102,0,5,3,1,62.3,178.06503774406121,4.606100000000003
LON-WEI-adc59df6-103,0,5,3,1,62.3,159.6648709784441,3.2379000000000016
JOH-UNI-a5c0a47e-1,0,3,4,0,29.54,132.6508493554586,3.6739000000000015
JOH-UNI-c7afdb96-2,0,3,3,2,73.12,130.62566209808764,3.9104800000000015
JOH-UNI-c7afdb96-4,0,4,3,1,69.96000000000001,126.5170180751934,3.3011800000000022
JOH-UNI-c7afdb96-5,0,4,4,1,69.96000000000001,124.15738134560488,3.362680000000001
JOH-UNI-c7afdb96-7,0,4,3,1,69.96000000000001,111.97553706070153,2.442500000000001
