id,pose,qvina
LON-WEI-babf2c61-3,4,-7.3
LON-WEI-babf2c61-3,5,-7.2
LON-WEI-babf2c61-3,6,-7.2
LON-WEI-babf2c61-3,7,-7.1
LON-WEI-babf2c61-3,8,-7.1
LON-WEI-babf2c61-3,9,-7.1
LON-WEI-babf2c61-3,10,-7.1
DAR-DIA-842b4336-18,1,-6.4
DAR-DIA-842b4336-18,2,-6.3
DAR-DIA-842b4336-18,3,-6.3
DAR-DIA-842b4336-18,4,-6.3
DAR-DIA-842b4336-18,5,-6.3
DAR-DIA-842b4336-18,6,-6.2
DAR-DIA-842b4336-18,7,-6.2
DAR-DIA-842b4336-18,8,-6.2
DAR-DIA-842b4336-18,9,-6.1
DAR-DIA-842b4336-18,10,-6.1
LON-WEI-adc59df6-49,1,-6.3
LON-WEI-adc59df6-49,2,-6.1
LON-WEI-adc59df6-49,3,-6.1
LON-WEI-adc59df6-49,4,-5.7
LON-WEI-adc59df6-49,5,-5.6
LON-WEI-adc59df6-49,6,-5.6
LON-WEI-adc59df6-49,7,-5.5
LON-WEI-adc59df6-49,8,-5.5
LON-WEI-adc59df6-49,9,-5.5
LON-WEI-adc59df6-49,10,-5.5
WAR-XCH-b72a1bbc-16,1,-6.6
WAR-XCH-b72a1bbc-16,2,-6.5
WAR-XCH-b72a1bbc-16,3,-6.5
WAR-XCH-b72a1bbc-16,4,-6.3
WAR-XCH-b72a1bbc-16,5,-6.1
WAR-XCH-b72a1bbc-16,6,-6.1
WAR-XCH-b72a1bbc-16,7,-6.1
WAR-XCH-b72a1bbc-16,8,-6.1
WAR-XCH-b72a1bbc-16,9,-6.1
WAR-XCH-b72a1bbc-16,10,-6.0
DAR-DIA-842b4336-7,1,-6.0
DAR-DIA-842b4336-7,2,-6.0
DAR-DIA-842b4336-7,3,-6.0
DAR-DIA-842b4336-7,4,-5.8
DAR-DIA-842b4336-7,5,-5.8
DAR-DIA-842b4336-7,6,-5.8
DAR-DIA-842b4336-7,7,-5.8
DAR-DIA-842b4336-7,8,-5.7
DAR-DIA-842b4336-7,9,-5.6
DAR-DIA-842b4336-7,10,-5.6
MAR-UNI-c84db004-16,1,-8.2
MAR-UNI-c84db004-16,2,-7.9
MAR-UNI-c84db004-16,3,-7.4
MAR-UNI-c84db004-16,4,-7.3
MAR-UNI-c84db004-16,5,-7.2
MAR-UNI-c84db004-16,6,-7.2
MAR-UNI-c84db004-16,7,-7.1
MAR-UNI-c84db004-16,8,-7.1
MAR-UNI-c84db004-16,9,-7.1
MAR-UNI-c84db004-16,10,-7.0
WAR-XCH-b6889685-29,1,-7.4
