id,pose,plants
MAT-POS-590ac91e-37,9,-70.0531
MAT-POS-590ac91e-37,10,-69.0686
AAR-POS-8a4e0f60-1,1,-87.815
AAR-POS-8a4e0f60-1,2,-85.1968
AAR-POS-8a4e0f60-1,3,-82.6978
AAR-POS-8a4e0f60-1,4,-82.0889
AAR-POS-8a4e0f60-1,5,-82.0304
AAR-POS-8a4e0f60-1,6,-80.1742
AAR-POS-8a4e0f60-1,7,-80.1725
AAR-POS-8a4e0f60-1,8,-79.7042
AAR-POS-8a4e0f60-1,9,-79.5076
AAR-POS-8a4e0f60-1,10,-79.3142
GIA-UNK-595fac82-2,1,-63.7097
GIA-UNK-595fac82-2,2,-62.3914
GIA-UNK-595fac82-2,3,-59.706
GIA-UNK-595fac82-2,4,-58.5204
GIA-UNK-595fac82-2,5,-57.3211
GIA-UNK-595fac82-2,6,-57.3164
GIA-UNK-595fac82-2,7,-56.3287
GIA-UNK-595fac82-2,8,-56.2319
GIA-UNK-595fac82-2,9,-55.9197
GIA-UNK-595fac82-2,10,-55.7985
BAR-COM-0f94fc3d-4,1,-91.8011
BAR-COM-0f94fc3d-4,2,-88.0321
BAR-COM-0f94fc3d-4,3,-87.3698
BAR-COM-0f94fc3d-4,4,-87.0484
BAR-COM-0f94fc3d-4,5,-86.602
BAR-COM-0f94fc3d-4,6,-86.3935
BAR-COM-0f94fc3d-4,7,-85.1734
BAR-COM-0f94fc3d-4,8,-84.1974
BAR-COM-0f94fc3d-4,9,-83.3948
BAR-COM-0f94fc3d-4,10,-81.4963
LON-WEI-8f408cad-5,1,-69.3531
LON-WEI-8f408cad-5,2,-66.9914
LON-WEI-8f408cad-5,3,-66.4048
LON-WEI-8f408cad-5,4,-65.7969
LON-WEI-8f408cad-5,5,-64.2673
LON-WEI-8f408cad-5,6,-63.8088
LON-WEI-8f408cad-5,7,-63.035
LON-WEI-8f408cad-5,8,-62.8552
LON-WEI-8f408cad-5,9,-62.7122
LON-WEI-8f408cad-5,10,-62.4296
LON-WEI-b8d98729-15,1,-94.7626
LON-WEI-b8d98729-15,2,-88.8096
LON-WEI-b8d98729-15,3,-87.1282
LON-WEI-b8d98729-15,4,-85.2388
LON-WEI-b8d98729-15,5,-83.8962
LON-WEI-b8d98729-15,6,-82.4174
LON-WEI-b8d98729-15,7,-79.8917
LON-WEI-b8d98729-15,8,-79.6415
LON-WEI-b8d98729-15,9,-78.4505
LON-WEI-b8d98729-15,10,-77.9407
AGN-NEW-c7b24fe3-5,1,-77.3813
AGN-NEW-c7b24fe3-5,2,-72.2592
AGN-NEW-c7b24fe3-5,3,-71.836
AGN-NEW-c7b24fe3-5,4,-69.7966
AGN-NEW-c7b24fe3-5,5,-69.2914
AGN-NEW-c7b24fe3-5,6,-69.2413
AGN-NEW-c7b24fe3-5,7,-68.8012
AGN-NEW-c7b24fe3-5,8,-68.6484
AGN-NEW-c7b24fe3-5,9,-68.4753
AGN-NEW-c7b24fe3-5,10,-68.4323
VIJ-CYC-1a381570-5,1,-70.469
VIJ-CYC-1a381570-5,2,-68.0153
VIJ-CYC-1a381570-5,3,-67.7989
VIJ-CYC-1a381570-5,4,-66.7368
VIJ-CYC-1a381570-5,5,-63.9853
VIJ-CYC-1a381570-5,6,-63.2205
VIJ-CYC-1a381570-5,7,-62.9754
VIJ-CYC-1a381570-5,8,-62.3581
VIJ-CYC-1a381570-5,9,-61.6488
VIJ-CYC-1a381570-5,10,-60.7881
TAM-UNI-d1c3dd9f-18,1,-77.6958
TAM-UNI-d1c3dd9f-18,2,-75.5113
TAM-UNI-d1c3dd9f-18,3,-75.2098
TAM-UNI-d1c3dd9f-18,4,-72.5336
TAM-UNI-d1c3dd9f-18,5,-71.2004
TAM-UNI-d1c3dd9f-18,6,-70.1479
TAM-UNI-d1c3dd9f-18,7,-68.9114
TAM-UNI-d1c3dd9f-18,8,-68.8803
TAM-UNI-d1c3dd9f-18,9,-68.4234
TAM-UNI-d1c3dd9f-18,10,-67.6867
MAT-POS-590ac91e-10,1,-61.4707
MAT-POS-590ac91e-10,2,-61.387
MAT-POS-590ac91e-10,3,-61.2898
MAT-POS-590ac91e-10,4,-57.043
MAT-POS-590ac91e-10,5,-56.7675
MAT-POS-590ac91e-10,6,-56.7095
MAT-POS-590ac91e-10,7,-56.6295
MAT-POS-590ac91e-10,8,-55.9912
MAT-POS-590ac91e-10,9,-55.8995
MAT-POS-590ac91e-10,10,-55.148999999999994
MAT-POS-02ae579f-1,1,-93.0745
MAT-POS-02ae579f-1,2,-92.0061
MAT-POS-02ae579f-1,3,-91.3559
MAT-POS-02ae579f-1,4,-89.8139
MAT-POS-02ae579f-1,5,-89.3456
MAT-POS-02ae579f-1,6,-88.7509
MAT-POS-02ae579f-1,7,-87.2112
MAT-POS-02ae579f-1,8,-82.5085
MAT-POS-02ae579f-1,9,-82.3773
MAT-POS-02ae579f-1,10,-81.5506
LON-WEI-adc59df6-30,1,-81.0544
LON-WEI-adc59df6-30,2,-76.7259
LON-WEI-adc59df6-30,3,-76.5528
LON-WEI-adc59df6-30,4,-72.5855
LON-WEI-adc59df6-30,5,-71.3639
LON-WEI-adc59df6-30,6,-69.3077
LON-WEI-adc59df6-30,7,-65.5994
LON-WEI-adc59df6-30,8,-64.8373
LON-WEI-adc59df6-30,9,-64.1849
LON-WEI-adc59df6-30,10,-64.0747
PAT-GYR-359dbb24-1,1,-74.7142
PAT-GYR-359dbb24-1,2,-70.8963
PAT-GYR-359dbb24-1,3,-70.6842
PAT-GYR-359dbb24-1,4,-70.3887
PAT-GYR-359dbb24-1,5,-68.4891
PAT-GYR-359dbb24-1,6,-67.7587
PAT-GYR-359dbb24-1,7,-66.9801
PAT-GYR-359dbb24-1,8,-66.8949
PAT-GYR-359dbb24-1,9,-66.1074
PAT-GYR-359dbb24-1,10,-66.0645
LON-WEI-b8d98729-10,1,-76.1483
LON-WEI-b8d98729-10,2,-74.5967
LON-WEI-b8d98729-10,3,-74.413
LON-WEI-b8d98729-10,4,-72.1935
LON-WEI-b8d98729-10,5,-71.4939
LON-WEI-b8d98729-10,6,-71.4241
LON-WEI-b8d98729-10,7,-69.9846
LON-WEI-b8d98729-10,8,-65.8988
LON-WEI-b8d98729-10,9,-65.3024
LON-WEI-b8d98729-10,10,-65.1918
LOR-NEU-c8f11034-8,1,-66.3758
LOR-NEU-c8f11034-8,2,-65.9034
LOR-NEU-c8f11034-8,3,-63.6508
LOR-NEU-c8f11034-8,4,-63.1455
LOR-NEU-c8f11034-8,5,-60.276
LOR-NEU-c8f11034-8,6,-60.2192
LOR-NEU-c8f11034-8,7,-59.6742
LOR-NEU-c8f11034-8,8,-59.4427
LOR-NEU-c8f11034-8,9,-59.0633
LOR-NEU-c8f11034-8,10,-58.9434
MAT-POS-ee51dedd-3,1,-86.7926
MAT-POS-ee51dedd-3,2,-86.7673
MAT-POS-ee51dedd-3,3,-82.9426
MAT-POS-ee51dedd-3,4,-79.6531
MAT-POS-ee51dedd-3,5,-78.6543
MAT-POS-ee51dedd-3,6,-77.1835
MAT-POS-ee51dedd-3,7,-77.0551
MAT-POS-ee51dedd-3,8,-76.7724
MAT-POS-ee51dedd-3,9,-76.4578
MAT-POS-ee51dedd-3,10,-75.3349
MED-COV-4280ac29-26,1,-90.7787
MED-COV-4280ac29-26,2,-90.6255
MED-COV-4280ac29-26,3,-89.711
MED-COV-4280ac29-26,4,-87.5447
MED-COV-4280ac29-26,5,-84.9527
MED-COV-4280ac29-26,6,-82.5666
MED-COV-4280ac29-26,7,-82.3862
MED-COV-4280ac29-26,8,-82.2266
MED-COV-4280ac29-26,9,-81.5401
MED-COV-4280ac29-26,10,-80.8779
MAT-POS-590ac91e-19,1,-64.6506
MAT-POS-590ac91e-19,2,-61.9658
MAT-POS-590ac91e-19,3,-61.3841
MAT-POS-590ac91e-19,4,-61.3009
MAT-POS-590ac91e-19,5,-60.9899
MAT-POS-590ac91e-19,6,-60.7839
MAT-POS-590ac91e-19,7,-60.4868
MAT-POS-590ac91e-19,8,-59.9532
MAT-POS-590ac91e-19,9,-59.8748
MAT-POS-590ac91e-19,10,-59.1216
